DAP,Reaction,Active_In,Flux_Value
6,cpTransport_C00077[K],O2_only,0.00000063
6,cpTransport_C00129[K],O2_only,0.00000127
6,cpTransport_C00544[K],O2_only,0.00000028
6,cpTransport_C00617[K],O2_only,0.00010837
6,cpTransport_C00935[K],O2_only,0.00010837
6,cpTransport_C03175[K],O2_only,0.00004023
6,cpTransport_MC00926[K],O2_only,0.00000003
6,cpTransport_MC00928[K],O2_only,0.00000021
6,cpTransport_MC01000[K],O2_only,0.00000041
6,cxTransport_C00010[K],O2_only,-0.00000127
6,cxTransport_C00026[K],O2_only,-0.00000127
6,cxTransport_C00036[K],O2_only,0.00000127
6,cxTransport_C00149[K],O2_only,-0.00000127
6,cxTransport_C00332[K],O2_only,-0.00000127
6,cxTransport_C00527[K],O2_only,0.00000127
6,cxTransport_C00894[K],O2_only,0.00000127
8,16:0/18:0-DGDGdegradation[K],WT_only,0.00000017
8,16:0/18:0-MGDGdegradation[K],WT_only,0.00000001
8,16:0/18:0-PCdegradation[K],WT_only,0.00000042
8,18:3/18:2-DGDGdegradation[K],WT_only,0.00000040
8,18:3/18:2-MGDGdegradation[K],WT_only,0.00000040
8,Exchange_160PG[K,L],WT_only,-0.00000001
8,Exchange_180SQDG[K,L],WT_only,-0.00000030
8,Exchange_183PE[K,L],WT_only,-0.00000070
8,Exchange_C00075[K,L],WT_only,-0.00000063
8,MR00557[K,p],WT_only,-0.00000014
8,MR00558[K,p],WT_only,-0.00000004
8,MR00875[K,p],WT_only,-0.00000004
8,MR01107[K,p],WT_only,0.00000003
8,MR01113[K,c],WT_only,0.00000088
8,MR01127[K,p],WT_only,0.00001292
8,MR01128[K,p],WT_only,0.00000040
8,MR01129[K,p],WT_only,0.00001292
8,MR01140[K,c],WT_only,0.00000088
8,MR01144[K,p],WT_only,0.00000003
8,MR01148[K,p],WT_only,0.00000017
8,MR01237[K,c],WT_only,-0.00000003
8,MR01237[K,p],WT_only,0.00000003
8,PhloemImport_C00008_I[K,c],WT_only,0.00010478
8,PhloemImport_C00044_I[K,c],WT_only,0.00000093
8,PhloemImport_C00075_I[K,c],WT_only,0.00000101
8,PhloemTransport_C00008[K,c],WT_only,0.00010478
8,PhloemTransport_C00044[K,c],WT_only,0.00000093
8,PhloemTransport_C00075[K,c],WT_only,0.00000101
8,R00251[K,p],WT_only,-0.00000004
8,R00512[K,p],WT_only,-0.00000088
8,R00734[K,c],WT_only,0.00000027
8,R00760[K,c],WT_only,0.46764021
8,R00830[K,c],WT_only,0.00000004
8,R00830[K,p],WT_only,-0.00000004
8,R00859[K,p],WT_only,-0.00000004
8,R00883[K,c],WT_only,0.00009563
8,R00899[K,p],WT_only,-0.00000004
8,R00946[K,p],WT_only,-0.00000012
8,R01217[K,p],WT_only,-0.00000012
8,R01310[K,p],WT_only,-0.00000088
8,R01321_mod[K,p],WT_only,-0.00000088
8,R01385[K,c],WT_only,0.00010456
8,R02065[K,p],WT_only,-0.00000014
8,R02239_mod[K,p],WT_only,-0.00000088
