Reaction,DAP,WT_vmin,O2_vmin,WT_vmax,O2_vmax,vmin_diff,vmax_diff
R00451[K,p],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00451[K,p],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00451[K,p],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00451[K,p],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00451[K,p],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00451[K,p],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00451[K,p],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00451[K,p],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,c],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,c],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,c],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,c],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,c],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,c],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,c],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,c],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,p],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,p],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,p],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,p],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,p],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,p],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00715[K,p],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
