DAP,WT_R00451,O2_R00451,WT_glc,O2_glc,WT_pct_C_to_Lys,O2_pct_C_to_Lys
6,2.51e-06,3.73e-06,0.0,11.20648769,,3.328429123541026e-05
8,2.37e-06,4.05e-06,14.79498931,12.97747194,1.601893688695068e-05,3.120792723517151e-05
10,2.63e-06,2.68e-06,0.0,0.0,,
12,3.05e-06,2.81e-06,0.0,0.0,,
15,6.73e-06,0.00580307,22.13899794,14.11693644,3.0398846498108486e-05,0.0411071483155307
18,5.18e-06,6.77e-06,25.44120993,0.0,2.0360666863928514e-05,
22,1.51e-06,1.25078177,24.66842548,29.05039004,6.121185161267131e-06,4.305559299815859
30,0.0,0.0,28.72072655,33.23125319,0.0,0.0
