Reaction,WT_DAP6,O2_DAP6,WT_DAP8,O2_DAP8,WT_DAP10,O2_DAP10,WT_DAP12,O2_DAP12,WT_DAP15,O2_DAP15,WT_DAP18,O2_DAP18,WT_DAP22,O2_DAP22,WT_DAP30,O2_DAP30
PhloemImport_C00002_I[K,c],0.00000000,0.00000000,0.00000000,0.00012257,0.00000000,0.00000000,0.00000000,0.00000000,0.00056681,0.00024585,0.00000000,0.00029923,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00007[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00008_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00008_I[K,c],0.00011092,0.00010858,0.00010478,0.00000000,0.00011624,0.00011820,0.00013444,0.00012411,0.00000000,0.00000000,0.00022901,0.00000000,0.00000000,0.00000000,0.04676864,0.00001536
PhloemImport_C00009[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00015_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00015_I[K,c],0.00000000,0.00000000,0.00000000,0.00000192,0.00000000,0.00000185,0.00000000,0.00000180,0.00000000,0.00000356,0.00000000,0.00000180,0.00000000,1.50999368,0.00000000,0.00000000
PhloemImport_C00020_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00020_I[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00006689,0.00006596,0.00000000,0.00000000
PhloemImport_C00025[K,c],0.00473495,0.05558589,0.05502592,0.06143768,0.06695395,0.06345593,0.09881909,0.08895912,0.00000000,0.02267468,0.00000000,0.00000000,0.00000000,0.00013547,0.00000000,0.00000000
PhloemImport_C00031[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00034[K,c],0.00000007,0.00000007,0.00000007,0.00000008,0.00000007,0.00000007,0.00000008,0.00000008,0.00000019,0.00000015,0.00000014,0.00000019,0.00000004,0.00000004,0.00000002,0.00000001
PhloemImport_C00035_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00035_I[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000264,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00037[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002516,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00038[K,c],0.00000027,0.00000026,0.00000025,0.00000029,0.00000028,0.00000028,0.00000032,0.00000030,0.00000071,0.00000059,0.00000055,0.00000071,0.00000016,0.00000016,0.00000008,0.00000003
PhloemImport_C00041[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00044_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00044_I[K,c],0.00000000,0.00000011,0.00000093,0.00000000,0.00000000,0.00000105,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000266,0.00000000,0.00000000,0.00000000,0.00000000
