Reaction,WT_DAP6,O2_DAP6,Diff_DAP6,WT_DAP8,O2_DAP8,Diff_DAP8,WT_DAP10,O2_DAP10,Diff_DAP10,WT_DAP12,O2_DAP12,Diff_DAP12,WT_DAP15,O2_DAP15,Diff_DAP15,WT_DAP18,O2_DAP18,Diff_DAP18,WT_DAP22,O2_DAP22,Diff_DAP22,WT_DAP30,O2_DAP30,Diff_DAP30,MaxAbsDiff,AvgAbsDiff,ConsistentDirection
R01518[K,c],-0.27481997,-0.21872322,0.05609675,-0.20929320,-0.24844053,-0.03914733,-0.22539134,-0.23461300,-0.00922166,-0.23556586,-0.22005084,0.01551502,-0.72792195,-0.59466192,0.13326003,-0.43496860,-0.73261641,-0.29764781,-0.21971139,-4.36714574,-4.14743435,-0.24226685,-0.02085544,0.22141141,4.14743435,0.61496680,MIXED
R00216[K,p],0.27395720,0.26791034,-0.00604686,0.25851711,0.30231537,0.04379826,0.28709242,0.29187738,0.00478496,0.33389099,0.30833509,-0.02555590,0.67175805,0.60765163,-0.06410642,0.51246575,0.64324095,0.13077520,0.19655377,4.32550735,4.12895358,0.24210970,0.02304206,-0.21906764,4.12895358,0.57788610,MIXED
cpTransport_C00001[K],-0.22517567,-0.21984845,0.00532722,-0.21228384,-0.24794808,-0.03566424,-0.31323095,-0.23981492,0.07341603,-0.27700853,-0.25562776,0.02138077,-0.60443741,-0.49490750,0.10952991,-0.62425601,-0.58763651,0.03661950,-0.01866856,-4.14252739,-4.12385883,-0.37251355,-0.03423937,0.33827418,4.12385883,0.59300883,MIXED
R00355[K,c],0.07865398,0.13591044,0.05725646,0.12929668,0.15507098,0.02577430,0.13567146,0.14421432,0.00854286,0.12994206,0.12320884,-0.00673322,0.16929499,0.16732384,-0.00197115,0.29006490,0.20487274,-0.08519216,0.06991706,4.05697072,3.98705366,-0.00000789,0.01546662,0.01547451,3.98705366,0.52349979,MIXED
PhloemImport_C00049[K,c],0.07868096,0.13593685,0.05725589,0.12932216,0.15510080,0.02577864,0.13569973,0.14424307,0.00854334,0.12997476,0.12323903,-0.00673573,0.16936718,0.16738365,-0.00198353,0.29012046,0.20494534,-0.08517512,0.06993328,4.05698672,3.98705344,0.00000000,0.01546931,0.01546931,3.98705344,0.52349938,MIXED
PhloemTransport_C00049[K,c],0.07868096,0.13593685,0.05725589,0.12932216,0.15510080,0.02577864,0.13569973,0.14424307,0.00854334,0.12997476,0.12323903,-0.00673573,0.16936718,0.16738365,-0.00198353,0.29012046,0.20494534,-0.08517512,0.06993328,4.05698672,3.98705344,0.00000000,0.01546931,0.01546931,3.98705344,0.52349938,MIXED
R02740[K,c],-0.05308147,-1.68126874,-1.62818727,-2.13881241,-1.19395670,0.94485571,-0.03031447,-1.98037106,-1.95005659,0.11767459,-0.05108303,-0.16875762,-1.25347653,-0.61613425,0.63734228,-1.34474950,-1.27755196,0.06719754,-1.17879404,2.18622348,3.36501752,-0.90602833,0.00999646,0.91602479,3.36501752,1.20967991,MIXED
R02738[K,c],-0.05084405,-1.67907829,-1.62823424,-2.13669906,-1.19148423,0.94521483,-0.02796890,-1.97798733,-1.95001843,0.12038685,-0.04857893,-0.16896578,-1.24748757,-0.61117447,0.63631310,-1.34013989,-1.27152796,0.06861193,-1.17744973,2.18755051,3.36500024,-0.90537462,0.01021927,0.91559389,3.36500024,1.20974405,MIXED
cpTransport_C00026[K],-0.08366985,-0.08375304,-0.00008319,-0.08003940,-0.09522747,-0.01518807,-0.08567643,-0.08962328,-0.00394685,-0.08792922,-0.08242076,0.00550846,-0.17125155,-0.18995970,-0.01870815,-0.08958415,-0.14482652,-0.05524237,-0.07008426,-2.54710208,-2.47701782,0.12116710,0.00045986,-0.12070724,2.47701782,0.33705027,MIXED
cpTransport_C00025[K],0.08371290,0.08379455,0.00008165,0.08008010,0.09527441,0.01519431,0.08572155,0.08966916,0.00394761,0.08798140,0.08246893,-0.00551247,0.17125155,0.19005512,0.01880357,0.08958415,0.14494237,0.05535822,0.07011021,2.54710208,2.47699187,-0.12116710,-0.00045986,0.12070724,2.47699187,0.33707462,MIXED
Exe2[K],-0.13480032,-0.13167132,0.00312900,-0.12711701,-0.14852269,-0.02140568,-0.14162858,-0.14357881,-0.00195023,-0.16565774,-0.15266306,0.01299468,-0.34411930,-0.29420976,0.04990954,-0.34548976,-0.38271269,-0.03722293,-0.11290029,-2.40092559,-2.28802530,-0.13103566,-0.01871255,0.11232311,2.28802530,0.31587006,MIXED
Trans2[K],0.13480032,0.13167132,-0.00312900,0.12711701,0.14852269,0.02140568,0.14162858,0.14357881,0.00195023,0.16565774,0.15266306,-0.01299468,0.34411930,0.29420976,-0.04990954,0.34548976,0.38271269,0.03722293,0.11290029,2.40092559,2.28802530,0.13103566,0.01871255,-0.11232311,2.28802530,0.31587006,MIXED
R01015[K,c],-0.14569810,-0.11747549,0.02822261,-0.11247272,-0.13337970,-0.02090698,-0.12138254,-0.12613914,-0.00475660,-0.12782982,-0.11929704,0.00853278,-0.19372063,-0.31570326,-0.12198263,-0.00633915,-0.37724429,-0.37090514,0.02255374,-2.18598258,-2.20853632,-0.03279954,0.00464253,0.03744207,2.20853632,0.35016064,MIXED
R00200[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17551606,0.00000000,-0.17551606,2.11977113,0.00000000,-2.11977113,0.00000000,0.00000000,0.00000000,1.42248281,3.25921673,1.83673392,0.00000000,0.02080383,0.02080383,2.11977113,0.51910312,MIXED
R00760[K,c],0.00000000,0.00000000,0.00000000,0.46764021,0.00000000,-0.46764021,0.00000000,2.10694234,2.10694234,0.00000000,0.00000000,0.00000000,1.62923641,0.00000000,-1.62923641,0.00000000,1.65648481,1.65648481,0.00000000,0.00000000,0.00000000,1.02846822,0.00000000,-1.02846822,2.10694234,0.86109650,MIXED
R01068[K,c],0.20699638,1.80678549,1.59978911,2.25904071,1.33629508,-0.92274563,0.16031084,2.11526517,1.95495433,0.02011358,0.17957165,0.15945807,1.64889194,0.94980568,-0.69908626,1.59569692,1.67660904,0.08091212,1.29601252,1.51469077,0.21867825,1.13589720,0.00166771,-1.13422949,1.95495433,0.84623166,MIXED
R00756[K,c],0.00000000,1.66027629,1.66027629,2.11706491,1.17154360,-0.94552131,0.00000000,1.95438114,1.95438114,0.00000000,0.00000000,0.00000000,0.00000000,0.48963527,0.48963527,1.16868845,0.00000000,-1.16868845,0.00000000,1.49993858,1.49993858,0.75443091,0.00000000,-0.75443091,1.95438114,1.05910899,MIXED
R01070[K,c],-0.06108627,-1.68910246,-1.62801619,-2.14636770,-1.20268109,0.94368661,-0.03870611,-1.98890009,-1.95019398,0.10797321,-0.06003739,-0.16801060,-1.27370764,-0.63363249,0.64007515,-1.36123745,-1.29879272,0.06244473,-1.18367111,0.67141792,1.85508903,-1.01351685,0.00918251,1.02269936,1.95019398,1.03377696,MIXED
R04779[K,c],-0.06108627,-1.68910246,-1.62801619,-2.14636770,-1.20268109,0.94368661,-0.03870611,-1.98890009,-1.95019398,0.10797321,-0.06003739,-0.16801060,-1.27370764,-0.63363249,0.64007515,-1.36123745,-1.29879272,0.06244473,-1.18367111,0.67141792,1.85508903,-1.01351685,0.00918251,1.02269936,1.95019398,1.03377696,MIXED
ExB_C00095[K],0.60705960,0.00004945,-0.60701015,0.00004771,0.00005582,0.00000811,0.65549839,0.67880656,0.02330817,0.70370682,0.65573625,-0.04797057,0.00013517,0.00011197,-0.00002320,0.00010404,1.75414610,1.75404206,0.00003037,0.00002997,-0.00000040,0.00001477,0.00000503,-0.00000974,1.75404206,0.30404655,MIXED
Exchange_C00095[K,L],0.60700908,0.00000000,-0.60700908,0.00000000,0.00000000,0.00000000,0.65544545,0.67875273,0.02330728,0.70364559,0.65567973,-0.04796586,0.00000000,0.00000000,0.00000000,0.00000000,1.75401017,1.75401017,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.75401017,0.30403655,MIXED
R00211[K,c],0.00000000,0.00000253,0.00000253,0.00000000,0.00000254,0.00000254,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00360674,0.00000000,-0.00360674,0.00420785,0.05346495,0.04925710,0.09267506,1.73985667,1.64718161,0.00002940,0.00000572,-0.00002368,1.64718161,0.21250927,MIXED
cpTransport_C00024[K],0.00000000,0.00000127,0.00000127,0.00000000,0.00000127,0.00000127,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00360674,0.00000000,-0.00360674,-0.04819124,-0.00714588,0.04104536,0.09267506,1.73985667,1.64718161,0.00002940,-0.00997862,-0.01000802,1.64718161,0.21273053,MIXED
cpTransport_C00010[K],0.00000868,0.00000976,0.00000108,0.00000820,0.00001086,0.00000266,0.00001031,0.00000918,-0.00000113,0.00001231,0.00001136,-0.00000095,0.00363028,0.00001775,-0.00361253,-0.04817337,-0.00712359,0.04104978,0.09268038,1.73986182,1.64718144,0.00003199,-0.00997757,-0.01000956,1.64718144,0.21273239,MIXED
R00127[K,c],0.00031090,0.00030577,-0.00000513,0.00029183,0.00034531,0.00005348,0.00032778,0.00033215,0.00000437,0.00037964,0.00034730,-0.00003234,1.62782499,0.00069221,-1.62713278,0.03457113,0.56506099,0.53048986,1.20335610,0.00994690,-1.19340920,0.00008759,0.00003427,-0.00005332,1.62713278,0.41889756,MIXED
R00764[K,c],0.00880913,0.00862481,-0.00018432,0.00831633,0.00984833,0.00153200,0.00923460,0.00938874,0.00015414,0.01068087,0.00985361,-0.00082726,1.62925327,0.01975099,-1.60950228,0.03523417,0.56592733,0.53069316,1.20839704,0.01007166,-1.19832538,0.00257227,0.00087580,-0.00169647,1.60950228,0.41786438,MIXED
R00206[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.60537675,0.00000000,-1.60537675,0.00000000,0.53751470,0.53751470,1.20303135,0.00000000,-1.20303135,0.00000000,0.00000000,0.00000000,1.60537675,0.41824035,MIXED
R00299[K,c],0.19918510,1.79935795,1.60017285,1.78402797,1.32778453,-0.45624344,0.15212199,0.00000000,-0.15212199,0.01064675,0.17083380,0.16018705,0.00000000,0.93322712,0.93322712,1.57985906,0.00000000,-1.57985906,1.29133568,0.00000000,-1.29133568,0.00000000,0.00088260,0.00088260,1.60017285,0.77175372,MIXED
R00771[K,c],0.19918510,1.79914120,1.59995610,1.78402797,1.32778453,-0.45624344,0.15212199,0.00000000,-0.15212199,0.01064675,0.17083380,0.16018705,-0.00005782,0.93273635,0.93279417,1.57960749,-0.00059582,-1.58020331,1.29125792,0.00000000,-1.29125792,0.00000000,0.00088260,0.00088260,1.59995610,0.77170582,MIXED
R00769[K,c],-0.00022142,-0.00021675,0.00000467,-0.00020912,-0.00024660,-0.00003748,-0.00023204,-0.00023780,-0.00000576,-0.00026837,-0.00024954,0.00001883,-0.00059245,-0.00049433,0.00009812,-0.00045601,-0.00059763,-0.00014162,0.08273841,-1.51012502,-1.59286343,-0.00006476,-0.00002205,0.00004271,1.59286343,0.19915158,MIXED
R00342[K,p],0.10188739,0.09944685,-0.00244054,0.09603835,0.11214677,0.01610842,0.10752589,0.10850351,0.00097762,0.12621752,0.11584675,-0.01037077,0.09142564,0.22787770,0.13645206,-0.00131468,0.26193274,0.26324742,-0.19010466,1.39765727,1.58776193,0.03877302,0.00072499,-0.03804803,1.58776193,0.25692585,MIXED
R00248[K,c],0.00039438,-0.05362513,-0.05401951,-0.05190228,-0.06036248,-0.00846020,-0.05820848,-0.05875383,-0.00054535,-0.07010943,-0.06459056,0.00551887,0.00225936,0.00054129,-0.00171807,-0.09971986,0.00065516,0.10037502,0.00023548,-1.50984885,-1.51008433,-0.12112603,-0.00433170,0.11679433,1.51008433,0.22468946,MIXED
PhloemImport_C00015_I[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000192,0.00000192,0.00000000,0.00000185,0.00000185,0.00000000,0.00000180,0.00000180,0.00000000,0.00000356,0.00000356,0.00000000,0.00000180,0.00000180,0.00000000,1.50999368,1.50999368,0.00000000,0.00000000,0.00000000,1.50999368,0.18875058,UP
PhloemTransport_C00015[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000192,0.00000192,0.00000000,0.00000185,0.00000185,0.00000000,0.00000180,0.00000180,0.00000000,0.00000356,0.00000356,0.00000000,0.00000180,0.00000180,0.00000000,1.50999368,1.50999368,0.00000000,0.00000000,0.00000000,1.50999368,0.18875058,UP
R00571[K,c],-0.00000067,0.00000000,0.00000067,0.00000000,0.00000104,0.00000104,-0.00000084,0.00000114,0.00000198,0.00000129,0.00000105,-0.00000024,0.00000000,0.00000208,0.00000208,0.00000000,0.00000000,0.00000000,0.00000000,1.50999328,1.50999328,0.00000000,-0.00000007,-0.00000007,1.50999328,0.18874992,MIXED
ExB_C00063[K],0.00000082,0.00000000,-0.00000082,0.00000078,0.00000091,0.00000013,0.00000086,0.00000088,0.00000002,0.00000100,0.00000092,-0.00000008,0.00000220,0.00000182,-0.00000038,0.00000169,0.00000221,0.00000052,0.00000000,1.50999321,1.50999321,0.00000000,-0.00000007,-0.00000007,1.50999321,0.18874940,MIXED
Exchange_C00063[K,L],0.00000000,-0.00000080,-0.00000080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000049,1.50999272,1.50999321,-0.00000024,-0.00000015,0.00000009,1.50999321,0.18874926,MIXED
cpTransport_C00007[K],0.13428938,0.13116961,-0.00311977,0.12663419,0.14795680,0.02132261,0.14109284,0.14303435,0.00194151,0.16503811,0.15209106,-0.01294705,0.33884949,0.29307663,-0.04577286,0.34023022,0.32787359,-0.01235663,0.01991824,1.44660706,1.42668882,0.13085692,0.01866027,-0.11219665,1.42668882,0.20454324,MIXED
PhloemImport_C00079[K,c],0.00000119,0.00000116,-0.00000003,0.00000112,0.00000131,0.00000019,0.00000124,0.00000126,0.00000002,0.00000144,0.00000133,-0.00000011,0.00000317,0.00000263,-0.00000054,0.00000244,0.00000319,0.00000075,0.00000000,1.42449871,1.42449871,0.05085651,0.00000000,-0.05085651,1.42449871,0.18441961,MIXED
PhloemTransport_C00079[K,c],0.00000119,0.00000116,-0.00000003,0.00000112,0.00000131,0.00000019,0.00000124,0.00000126,0.00000002,0.00000144,0.00000133,-0.00000011,0.00000317,0.00000263,-0.00000054,0.00000244,0.00000319,0.00000075,0.00000000,1.42449871,1.42449871,0.05085651,0.00000000,-0.05085651,1.42449871,0.18441961,MIXED
Exe_C12303[K],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.42449854,1.42449854,0.05085651,0.00000000,-0.05085651,1.42449854,0.18441938,MIXED
MR00601[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.42449854,1.42449854,0.05085651,0.00000000,-0.05085651,1.42449854,0.18441938,MIXED
MR01082[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.42449854,1.42449854,0.05085651,0.00000000,-0.05085651,1.42449854,0.18441938,MIXED
R02611[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.42449854,1.42449854,0.05085651,0.00000000,-0.05085651,1.42449854,0.18441938,MIXED
cpTransport_C00079[K],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.42449854,1.42449854,0.05085651,0.00000000,-0.05085651,1.42449854,0.18441938,MIXED
R00248[K,p],0.00037458,0.00036612,-0.00000846,0.00035280,0.00041329,0.00006049,0.00000000,0.00039929,0.00039929,0.00000000,0.00041910,0.00041910,0.00056492,0.00000000,-0.00056492,0.00020818,0.00027224,0.00006406,0.00006074,1.42455850,1.42449776,0.17212672,0.00045883,-0.17166789,1.42449776,0.19971025,MIXED
R04426[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04587777,0.00000000,-0.04587777,0.06031337,1.46034980,1.40003643,0.04617879,0.00000000,-0.04617879,1.40003643,0.18651162,MIXED
