Reaction,WT_DAP6,O2_DAP6,Diff_DAP6,WT_DAP8,O2_DAP8,Diff_DAP8,WT_DAP10,O2_DAP10,Diff_DAP10,WT_DAP12,O2_DAP12,Diff_DAP12,WT_DAP15,O2_DAP15,Diff_DAP15,WT_DAP18,O2_DAP18,Diff_DAP18,WT_DAP22,O2_DAP22,Diff_DAP22,WT_DAP30,O2_DAP30,Diff_DAP30,MaxAbsDiff,AvgAbsDiff,ConsistentDirection
R00367[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000014,0.00000014,0.00000000,0.00000014,0.00000014,0.00000016,0.00000000,-0.00000016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000021,0.00000000,0.00000021,0.00000000,0.00000000,0.00000000,0.00000021,0.00000008,MIXED
R00610[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000014,0.00000014,0.00000000,0.00000014,0.00000014,0.00000016,0.00000000,-0.00000016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000021,0.00000000,0.00000021,0.00000000,0.00000000,0.00000000,0.00000021,0.00000008,MIXED
R09093[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000014,0.00000014,0.00000000,0.00000014,0.00000014,0.00000016,0.00000000,-0.00000016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000021,0.00000000,0.00000021,0.00000000,0.00000000,0.00000000,0.00000021,0.00000008,MIXED
cpTransport_MC00937[K],0.00000003,-0.00000018,-0.00000021,0.00000003,0.00000004,0.00000001,0.00000003,0.00000000,-0.00000003,0.00000004,0.00000000,-0.00000004,0.00000000,0.00000007,0.00000007,0.00000000,0.00000009,0.00000009,0.00000002,0.00000000,-0.00000002,0.00000001,0.00000000,-0.00000001,0.00000021,0.00000006,MIXED
ExB_C00249[K],0.00000032,0.00000032,0.00000000,0.00000031,0.00000036,0.00000005,0.00000034,0.00000035,0.00000001,0.00000039,0.00000036,-0.00000003,0.00000087,0.00000072,-0.00000015,0.00000067,0.00000087,0.00000020,0.00000020,0.00000019,-0.00000001,0.00000009,0.00000003,-0.00000006,0.00000020,0.00000006,MIXED
Exchange_180DGDG[K,L],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000020,-0.00000020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000005,0.00000000,0.00000005,0.00000020,0.00000003,MIXED
Exchange_182PC[K,L],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000020,0.00000000,0.00000020,0.00000020,0.00000002,UP
MR01161[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000018,-0.00000018,-0.00000020,0.00000000,0.00000020,-0.00000044,-0.00000037,0.00000007,0.00000000,0.00000000,0.00000000,-0.00000010,0.00000000,0.00000010,0.00000000,-0.00000002,-0.00000002,0.00000020,0.00000007,MIXED
cpTransport_C00249[K],-0.00000032,-0.00000032,0.00000000,-0.00000031,-0.00000036,-0.00000005,-0.00000034,-0.00000035,-0.00000001,-0.00000039,-0.00000036,0.00000003,-0.00000087,-0.00000072,0.00000015,-0.00000067,-0.00000087,-0.00000020,-0.00000020,-0.00000019,0.00000001,-0.00000009,-0.00000003,0.00000006,0.00000020,0.00000006,MIXED
MR01157[K,p],0.00000017,0.00000016,-0.00000001,0.00000016,0.00000018,0.00000002,0.00000017,0.00000000,-0.00000017,0.00000000,0.00000019,0.00000019,0.00000000,0.00000000,0.00000000,0.00000034,0.00000045,0.00000011,0.00000000,0.00000010,0.00000010,0.00000005,0.00000000,-0.00000005,0.00000019,0.00000008,MIXED
R02063[K,p],0.00000029,0.00000028,-0.00000001,0.00000027,0.00000032,0.00000005,0.00000030,0.00000031,0.00000001,0.00000035,0.00000032,-0.00000003,0.00000077,0.00000064,-0.00000013,0.00000059,0.00000077,0.00000018,0.00000017,0.00000017,0.00000000,0.00000008,0.00000003,-0.00000005,0.00000018,0.00000006,MIXED
R07500[K,p],0.00000029,0.00000028,-0.00000001,0.00000027,0.00000032,0.00000005,0.00000030,0.00000031,0.00000001,0.00000035,0.00000032,-0.00000003,0.00000077,0.00000064,-0.00000013,0.00000059,0.00000077,0.00000018,0.00000017,0.00000017,0.00000000,0.00000008,0.00000003,-0.00000005,0.00000018,0.00000006,MIXED
R07501[K,p],0.00000029,0.00000028,-0.00000001,0.00000027,0.00000032,0.00000005,0.00000030,0.00000031,0.00000001,0.00000035,0.00000032,-0.00000003,0.00000077,0.00000064,-0.00000013,0.00000059,0.00000077,0.00000018,0.00000017,0.00000017,0.00000000,0.00000008,0.00000003,-0.00000005,0.00000018,0.00000006,MIXED
R07502[K,p],0.00000029,0.00000028,-0.00000001,0.00000027,0.00000032,0.00000005,0.00000030,0.00000031,0.00000001,0.00000035,0.00000032,-0.00000003,0.00000077,0.00000064,-0.00000013,0.00000059,0.00000077,0.00000018,0.00000017,0.00000017,0.00000000,0.00000008,0.00000003,-0.00000005,0.00000018,0.00000006,MIXED
MR01238[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000018,0.00000000,0.00000018,0.00000000,0.00000000,0.00000000,-0.00000003,0.00000000,0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000018,0.00000003,UP
Exchange_181DGDG[K,L],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000007,-0.00000007,0.00000000,-0.00000007,-0.00000007,-0.00000017,0.00000000,0.00000017,-0.00000013,0.00000000,0.00000013,0.00000000,-0.00000004,-0.00000004,0.00000000,0.00000000,0.00000000,0.00000017,0.00000006,MIXED
MR00559[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000017,0.00000000,0.00000017,0.00000003,0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000017,0.00000002,UP
R00692[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000017,-0.00000017,0.00000000,0.00000000,0.00000000,0.00000017,0.00000002,DOWN
R01373[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000017,-0.00000017,0.00000000,0.00000000,0.00000000,0.00000017,0.00000002,DOWN
R01730[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000017,0.00000017,0.00000000,0.00000000,0.00000000,0.00000017,0.00000002,UP
R07558[K,p],0.00000003,0.00000000,-0.00000003,0.00000002,-0.00000002,-0.00000004,0.00000000,-0.00000017,-0.00000017,0.00000000,0.00000000,0.00000000,0.00000007,0.00000006,-0.00000001,0.00000005,0.00000007,0.00000002,0.00000002,0.00000002,0.00000000,0.00000001,0.00000000,-0.00000001,0.00000017,0.00000004,MIXED
cpTransport_C00166[K],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000017,0.00000017,0.00000000,0.00000000,0.00000000,0.00000017,0.00000002,UP
MR00557[K,p],-0.00000014,0.00000002,0.00000016,-0.00000014,0.00000000,0.00000014,-0.00000015,-0.00000015,0.00000000,-0.00000017,-0.00000016,0.00000001,-0.00000038,-0.00000032,0.00000006,-0.00000030,-0.00000039,-0.00000009,-0.00000009,-0.00000009,0.00000000,-0.00000004,-0.00000001,0.00000003,0.00000016,0.00000006,MIXED
R02065[K,p],-0.00000014,0.00000002,0.00000016,-0.00000014,0.00000000,0.00000014,-0.00000015,-0.00000015,0.00000000,-0.00000017,-0.00000016,0.00000001,-0.00000038,-0.00000032,0.00000006,-0.00000030,-0.00000039,-0.00000009,-0.00000009,-0.00000009,0.00000000,-0.00000004,-0.00000001,0.00000003,0.00000016,0.00000006,MIXED
R04218[K,p],-0.00000014,0.00000002,0.00000016,-0.00000014,0.00000000,0.00000014,-0.00000015,-0.00000015,0.00000000,-0.00000017,-0.00000016,0.00000001,-0.00000038,-0.00000032,0.00000006,-0.00000030,-0.00000039,-0.00000009,-0.00000009,-0.00000009,0.00000000,-0.00000004,-0.00000001,0.00000003,0.00000016,0.00000006,MIXED
ExB_C00038[K],0.00000027,0.00000026,-0.00000001,0.00000025,0.00000029,0.00000004,0.00000028,0.00000028,0.00000000,0.00000032,0.00000030,-0.00000002,0.00000071,0.00000059,-0.00000012,0.00000055,0.00000071,0.00000016,0.00000016,0.00000016,0.00000000,0.00000008,0.00000003,-0.00000005,0.00000016,0.00000005,MIXED
PhloemImport_C00038[K,c],0.00000027,0.00000026,-0.00000001,0.00000025,0.00000029,0.00000004,0.00000028,0.00000028,0.00000000,0.00000032,0.00000030,-0.00000002,0.00000071,0.00000059,-0.00000012,0.00000055,0.00000071,0.00000016,0.00000016,0.00000016,0.00000000,0.00000008,0.00000003,-0.00000005,0.00000016,0.00000005,MIXED
PhloemTransport_C00038[K,c],0.00000027,0.00000026,-0.00000001,0.00000025,0.00000029,0.00000004,0.00000028,0.00000028,0.00000000,0.00000032,0.00000030,-0.00000002,0.00000071,0.00000059,-0.00000012,0.00000055,0.00000071,0.00000016,0.00000016,0.00000016,0.00000000,0.00000008,0.00000003,-0.00000005,0.00000016,0.00000005,MIXED
Exchange_181MGDG[K,L],-0.00000005,0.00000000,0.00000005,-0.00000005,-0.00000006,-0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000014,0.00000000,0.00000014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000014,0.00000002,MIXED
MR00348[K,p],0.00000000,0.00000000,0.00000000,0.00000012,0.00000014,0.00000002,0.00000014,0.00000000,-0.00000014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000007,0.00000003,0.00000000,-0.00000003,0.00000014,0.00000003,MIXED
ExB_C02483[K],0.00000023,0.00000022,-0.00000001,0.00000021,0.00000025,0.00000004,0.00000024,0.00000024,0.00000000,0.00000028,0.00000025,-0.00000003,0.00000061,0.00000050,-0.00000011,0.00000047,0.00000061,0.00000014,0.00000014,0.00000013,-0.00000001,0.00000007,0.00000002,-0.00000005,0.00000014,0.00000005,MIXED
ExB_C01595[K],0.00000021,0.00000020,-0.00000001,0.00000019,0.00000023,0.00000004,0.00000022,0.00000022,0.00000000,0.00000025,0.00000023,-0.00000002,0.00000055,0.00000046,-0.00000009,0.00000043,0.00000056,0.00000013,0.00000012,0.00000012,0.00000000,0.00000006,0.00000002,-0.00000004,0.00000013,0.00000004,MIXED
Exchange_181PC[K,L],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000013,0.00000000,0.00000013,0.00000000,-0.00000004,-0.00000004,0.00000000,-0.00000007,-0.00000007,0.00000013,0.00000003,MIXED
MR01160[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000010,0.00000000,0.00000010,-0.00000005,-0.00000018,-0.00000013,0.00000013,0.00000003,MIXED
PhloemImport_C00097[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000012,-0.00000012,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000012,0.00000001,DOWN
PhloemTransport_C00097[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000012,-0.00000012,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000012,0.00000001,DOWN
R00859[K,p],0.00000000,-0.00000004,-0.00000004,-0.00000004,0.00000000,0.00000004,-0.00000005,0.00000000,0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000012,-0.00000012,-0.00000007,0.00000000,0.00000007,0.00000000,0.00000000,0.00000000,0.00000012,0.00000004,MIXED
cpTransport_C00051[K],0.00000000,0.00000000,0.00000000,-0.00000004,0.00000000,0.00000004,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000012,-0.00000012,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000012,0.00000002,MIXED
16:0/18:1-SQDGdegradation[K],0.00000017,0.00000016,-0.00000001,0.00000016,0.00000018,0.00000002,0.00000017,0.00000018,0.00000001,0.00000020,0.00000019,-0.00000001,0.00000044,0.00000037,-0.00000007,0.00000034,0.00000045,0.00000011,0.00000010,0.00000010,0.00000000,0.00000005,0.00000002,-0.00000003,0.00000011,0.00000003,MIXED
cpTransport_MC00943[K],0.00000017,0.00000016,-0.00000001,0.00000016,0.00000018,0.00000002,0.00000017,0.00000018,0.00000001,0.00000020,0.00000019,-0.00000001,0.00000044,0.00000037,-0.00000007,0.00000034,0.00000045,0.00000011,0.00000010,0.00000010,0.00000000,0.00000005,0.00000002,-0.00000003,0.00000011,0.00000003,MIXED
18:0/18:0-MGDGdegradation[K],-0.00000009,0.00000001,0.00000010,0.00000000,0.00000001,0.00000001,-0.00000009,-0.00000010,-0.00000001,0.00000001,0.00000000,-0.00000001,0.00000002,0.00000001,-0.00000001,0.00000001,0.00000002,0.00000001,0.00000000,0.00000010,0.00000010,0.00000000,0.00000000,0.00000000,0.00000010,0.00000003,MIXED
cpTransport_C00144[K],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000010,-0.00000010,0.00000010,0.00000001,DOWN
cpTransport_MC00931[K],-0.00000009,0.00000001,0.00000010,0.00000000,0.00000001,0.00000001,-0.00000009,-0.00000010,-0.00000001,0.00000001,0.00000000,-0.00000001,0.00000002,0.00000001,-0.00000001,0.00000001,0.00000002,0.00000001,0.00000000,0.00000010,0.00000010,0.00000000,0.00000000,0.00000000,0.00000010,0.00000003,MIXED
18:1/18:1-PCdegradation[K],0.00000003,0.00000003,0.00000000,0.00000003,0.00000003,0.00000000,0.00000003,0.00000003,0.00000000,0.00000004,0.00000003,-0.00000001,0.00000008,0.00000007,-0.00000001,0.00000000,0.00000008,0.00000008,0.00000002,0.00000000,-0.00000002,0.00000001,0.00000000,-0.00000001,0.00000008,0.00000002,MIXED
18:1/18:1-PEdegradation[K],-0.00000003,-0.00000003,0.00000000,-0.00000006,-0.00000003,0.00000003,-0.00000003,-0.00000003,0.00000000,-0.00000004,-0.00000003,0.00000001,-0.00000007,-0.00000007,0.00000000,0.00000000,-0.00000008,-0.00000008,-0.00000002,0.00000000,0.00000002,-0.00000001,0.00000000,0.00000001,0.00000008,0.00000002,MIXED
ExB_C00286[K],0.00000011,0.00000011,0.00000000,0.00000011,0.00000013,0.00000002,0.00000012,0.00000012,0.00000000,0.00000014,0.00000013,-0.00000001,0.00000031,0.00000025,-0.00000006,0.00000023,0.00000031,0.00000008,0.00000007,0.00000007,0.00000000,0.00000003,0.00000001,-0.00000002,0.00000008,0.00000002,MIXED
MR01139[K,c],-0.00000003,-0.00000003,0.00000000,-0.00000003,-0.00000003,0.00000000,-0.00000003,-0.00000003,0.00000000,-0.00000004,-0.00000003,0.00000001,-0.00000008,-0.00000007,0.00000001,0.00000000,-0.00000008,-0.00000008,-0.00000002,0.00000000,0.00000002,-0.00000001,0.00000000,0.00000001,0.00000008,0.00000002,MIXED
MR01165[K,c],-0.00000003,-0.00000003,0.00000000,-0.00000006,-0.00000003,0.00000003,-0.00000003,-0.00000003,0.00000000,-0.00000004,-0.00000003,0.00000001,-0.00000007,-0.00000007,0.00000000,0.00000000,-0.00000008,-0.00000008,-0.00000002,0.00000000,0.00000002,-0.00000001,0.00000000,0.00000001,0.00000008,0.00000002,MIXED
R02020[K,c],-0.00000011,-0.00000011,0.00000000,-0.00000011,-0.00000013,-0.00000002,-0.00000012,-0.00000012,0.00000000,-0.00000014,-0.00000013,0.00000001,-0.00000031,-0.00000025,0.00000006,-0.00000023,-0.00000031,-0.00000008,-0.00000007,-0.00000007,0.00000000,-0.00000003,-0.00000001,0.00000002,0.00000008,0.00000002,MIXED
ExB_C00459[K],0.00000013,0.00000013,0.00000000,0.00000012,0.00000014,0.00000002,0.00000014,0.00000014,0.00000000,0.00000016,0.00000014,-0.00000002,0.00000035,0.00000029,-0.00000006,0.00000027,0.00000035,0.00000008,0.00000008,0.00000008,0.00000000,0.00000004,0.00000001,-0.00000003,0.00000008,0.00000003,MIXED
ExB_C00458[K],0.00000011,0.00000011,0.00000000,0.00000011,0.00000013,0.00000002,0.00000012,0.00000012,0.00000000,0.00000014,0.00000013,-0.00000001,0.00000031,0.00000025,-0.00000006,0.00000024,0.00000031,0.00000007,0.00000007,0.00000007,0.00000000,0.00000003,0.00000001,-0.00000002,0.00000007,0.00000002,MIXED
MR01084[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000007,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,UP
MR01098[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000007,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,UP
MR01116[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000007,-0.00000007,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,DOWN
R00497[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000000,-0.00000007,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,DOWN
R00894[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000000,-0.00000007,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,DOWN
R01021[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000007,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,UP
R01021[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000007,-0.00000007,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,DOWN
R01890[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000007,-0.00000007,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,DOWN
cpTransport_C00510[K],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000007,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,UP
cpTransport_C00669[K],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000000,-0.00000007,0.00000000,0.00000000,0.00000000,0.00000007,0.00000001,DOWN
R00177[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000010,0.00000003,-0.00000007,0.00000007,0.00000001,DOWN
16:0/18:1-PCdegradation[K],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000006,-0.00000006,0.00000006,0.00000001,DOWN
18:1/18:1-MGDGdegradation[K],0.00000000,0.00000003,0.00000003,0.00000000,0.00000000,0.00000000,0.00000003,0.00000003,0.00000000,0.00000003,0.00000003,0.00000000,0.00000000,0.00000006,0.00000006,0.00000006,0.00000007,0.00000001,0.00000002,0.00000002,0.00000000,0.00000001,0.00000000,-0.00000001,0.00000006,0.00000001,MIXED
R01113[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000001,UP
R02409[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000006,-0.00000006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000001,DOWN
R03132[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000001,UP
cpTransport_C00127[K],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000001,UP
cpTransport_C00491[K],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000001,UP
cpTransport_MC00926[K],0.00000000,0.00000003,0.00000003,0.00000000,0.00000000,0.00000000,0.00000003,0.00000003,0.00000000,0.00000003,0.00000003,0.00000000,0.00000000,0.00000006,0.00000006,0.00000006,0.00000007,0.00000001,0.00000002,0.00000002,0.00000000,0.00000001,0.00000000,-0.00000001,0.00000006,0.00000001,MIXED
ExB_C00034[K],0.00000007,0.00000007,0.00000000,0.00000007,0.00000008,0.00000001,0.00000007,0.00000007,0.00000000,0.00000008,0.00000008,0.00000000,0.00000019,0.00000015,-0.00000004,0.00000014,0.00000019,0.00000005,0.00000004,0.00000004,0.00000000,0.00000002,0.00000001,-0.00000001,0.00000005,0.00000001,MIXED
PhloemImport_C00034[K,c],0.00000007,0.00000007,0.00000000,0.00000007,0.00000008,0.00000001,0.00000007,0.00000007,0.00000000,0.00000008,0.00000008,0.00000000,0.00000019,0.00000015,-0.00000004,0.00000014,0.00000019,0.00000005,0.00000004,0.00000004,0.00000000,0.00000002,0.00000001,-0.00000001,0.00000005,0.00000001,MIXED
PhloemTransport_C00034[K,c],0.00000007,0.00000007,0.00000000,0.00000007,0.00000008,0.00000001,0.00000007,0.00000007,0.00000000,0.00000008,0.00000008,0.00000000,0.00000019,0.00000015,-0.00000004,0.00000014,0.00000019,0.00000005,0.00000004,0.00000004,0.00000000,0.00000002,0.00000001,-0.00000001,0.00000005,0.00000001,MIXED
R01777[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000000,-0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000001,DOWN
R02734[K,p],0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,-0.00000004,-0.00000005,0.00000000,0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000001,MIXED
R03260[K,p],0.00000000,-0.00000004,-0.00000004,0.00000000,0.00000000,0.00000000,-0.00000005,0.00000000,0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000001,MIXED
R03824[K,p],0.00000003,0.00000000,-0.00000003,0.00000003,-0.00000002,-0.00000005,-0.00000017,-0.00000017,0.00000000,0.00000003,0.00000003,0.00000000,0.00000008,0.00000006,-0.00000002,0.00000006,0.00000008,0.00000002,0.00000002,0.00000002,0.00000000,0.00000001,0.00000000,-0.00000001,0.00000005,0.00000002,MIXED
R04365[K,p],0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,-0.00000004,-0.00000005,0.00000000,0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000001,MIXED
