DAP,WT_Lys_Production,WT_Lys_Consumption,WT_Net,O2_Lys_Production,O2_Lys_Consumption,O2_Net
6,0.00000753,-0.00000753,-0.00000000,0.00000992,-0.00000992,-0.00000000
8,0.00000711,-0.00000711,-0.00000000,0.00001088,-0.00001088,0.00000000
10,0.00000789,-0.00000789,-0.00000000,0.00000804,-0.00000804,0.00000000
12,0.00000915,-0.00000915,0.00000000,0.00000843,-0.00000843,-0.00000000
15,0.00002019,-0.00002019,0.00000000,0.01740921,-0.01740921,-0.00000000
18,0.00001554,-0.00001554,0.00000000,0.00002031,-0.00002031,0.00000000
22,0.00000453,-0.00000453,-0.00000000,3.75234531,-3.75234531,-0.00000000
30,0.00000074,-0.00000074,0.00000000,0.00000025,-0.00000025,-0.00000000
