DAP,WT_Biomass,O2_Biomass,Difference,Fold_Change,Percent_Change
6,0.00059945,0.00058680,-0.00001265,0.978897,-2.1103
8,0.00056615,0.00066242,0.00009627,1.170043,17.0043
10,0.00062819,0.00063878,0.00001059,1.016858,1.6858
12,0.00072655,0.00067071,-0.00005584,0.923144,-7.6856
15,0.00160392,0.00132865,-0.00027527,0.828377,-17.1623
18,0.00123453,0.00161305,0.00037852,1.306611,30.6611
22,0.00036039,0.00035559,-0.00000480,0.986681,-1.3319
30,0.00017531,0.00005969,-0.00011562,0.340483,-65.9517
