DAP,WT_AK_flux,WT_DAPDC_flux,WT_lys_fraction,O2_AK_flux,O2_DAPDC_flux,O2_lys_fraction
6,2.51e-06,2.51e-06,1.0,3.73e-06,3.73e-06,1.0
8,2.37e-06,2.37e-06,1.0,4.05e-06,4.05e-06,1.0
10,2.63e-06,2.63e-06,1.0,2.68e-06,2.68e-06,1.0
12,3.05e-06,3.05e-06,1.0,2.81e-06,2.81e-06,1.0
15,6.73e-06,6.73e-06,1.0,0.00580307,0.00580307,1.0
18,5.18e-06,5.18e-06,1.0,6.77e-06,6.77e-06,1.0
22,1.51e-06,1.51e-06,1.0,1.25078177,1.25078177,1.0
30,0.0,0.0,,0.0,0.0,
