Scenario,Description,Biomass,R00451_Lysine,R02292_DHDPS,Exchange_C00047,ModelStat,Lys_FoldChange
s1,Baseline,0.00036039,0.00000151,0.00000151,0.00000000,1,1.00000000
s2,KO_R00282_ACC,0.00036032,2.44684513,2.44684513,2.44678323,1,1618831.72306945
s3,KO_R00216_PDH_plastid,0.00036040,0.03140043,0.03140043,0.03139892,1,20774.51428569
s4,KO_Exe2_lipid_export,0.00036029,0.17202857,0.17202857,0.17202706,1,113814.03226040
s5,KO_Trans2_lipid_transport,0.00036037,0.15560630,0.15560630,0.15560479,1,102949.06475145
s6,KO_cpTransO2_transport,0.00036030,0.08264161,0.08264161,0.08264010,1,54675.65477885
s7,OE_R00883_AspKinase,0.00036031,0.01453745,0.01453745,0.01453594,1,9617.96874262
s8,OE_R00512_AspSemiDH,0.00036017,0.03198339,0.03198339,0.03198188,1,21160.20062845
s9,OE_R01015_DHDPR,0.00036017,0.02536550,0.02536550,0.02536321,1,16781.80399414
s10,OE_R00667_HomoserDH,0.00036040,0.02535258,0.02535258,0.02535106,1,16773.25377945
s11,OE_R01280_DAPepimerase,0.00036040,0.07759097,0.07759097,0.07758946,1,51334.15376547
s12,Mimicry_MR00422,0.00036018,0.07624984,0.07624984,0.07624833,1,50446.86346737
s13,Mimicry_MR00732,0.00036030,0.05031156,0.05031156,0.05031005,1,33286.10903778
s14,Mimicry_R00342,0.00036017,0.05036786,0.05036786,0.05036635,1,33323.35408199
s15,COMBO_KO_R00282+OE_R00883,0.00036039,0.08302621,0.08302621,0.08296436,1,54930.10513973
s16,COMBO_KO_R00282+OE_R00512+R01015,0.00036017,0.08281145,0.08281145,0.08274655,1,54788.02213441
s17,COMBO_KO_PDH+OE_R00883,0.00036028,0.03301482,0.03301482,0.03301331,1,21842.59038325
s18,COMBO_KO_Exe2+Trans2,0.00036035,0.77236258,0.77236258,0.77236106,1,510994.76000782
s19,COMBO_All3_mimicry,0.00036032,0.10183207,0.10183207,0.10183056,1,67372.05302965
s20,COMBO_KO_R00282+All_mimicry,0.00036040,3.57235016,3.57235016,3.57222171,1,2363465.38955713
s21,COMBO_AllKOs_FA_block,0.00036040,0.16161924,0.16161924,0.16155736,1,106927.22536504
s22,COMBO_AllKOs+AllOE,0.00036017,0.21075009,0.21075009,0.21068426,1,139432.17242346
s23,OE_All_lysine_pathway,0.00036032,0.01514930,0.01514930,0.01514779,1,10022.77075494
s24,COMBO_KO_R00282+OE_AllLys,0.00036039,0.19091806,0.19091806,0.19085618,1,126311.31207309
s25,GRAND_COMBO_AllKO+AllOE+AllMim,0.00036031,0.22954372,0.22954372,0.22948186,1,151866.03143639
s26,COMBO_KO_R00282+OE_R00883+Mim_R00342,0.00036030,0.01338340,0.01338340,0.01332157,1,8854.45070160
s27,OE_R00883+R00667,0.00036041,0.01242026,0.01242026,0.01241875,1,8217.23797674
s28,KO_PDH+ACC_all_FA_entry,0.00036034,0.02714167,0.02714167,0.02707980,1,17956.91611603
