Scenario,Description,Biomass,R00451_Lysine,R02292_DHDPS,Exchange_C00047,ModelStat,Lys_FoldChange
s1,Baseline,0.00059945,0.00000251,0.00000251,0.00000000,1,1.00000000
s2,KO_R00282_ACC,0.00059805,0.00010263,0.00010263,0.00000000,1,40.82164565
s3,KO_R00216_PDH_plastid,0.00043579,0.03301354,0.03301354,0.03301062,1,13131.44654924
s4,KO_Exe2_lipid_export,0.00058335,0.13173458,0.13173458,0.13173102,1,52398.66899865
s5,KO_Trans2_lipid_transport,0.00058352,0.13173326,0.13173326,0.13172969,1,52398.14152164
s6,KO_cpTransO2_transport,0.00058882,0.13094396,0.13094396,0.13094149,1,52084.19092617
s7,OE_R00883_AspKinase,0.00059932,0.00000366,0.00000366,0.00000000,1,1.45657949
s8,OE_R00512_AspSemiDH,0.00059929,0.00000381,0.00000381,0.00000000,1,1.51404342
s9,OE_R01015_DHDPR,0.00059929,0.00000381,0.00000381,0.00000000,1,1.51404443
s10,OE_R00667_HomoserDH,0.00059929,0.00000383,0.00000383,0.00000000,1,1.52534957
s11,OE_R01280_DAPepimerase,0.00059959,0.00000366,0.00000366,0.00000000,1,1.45722101
s12,Mimicry_MR00422,0.00059929,0.00000383,0.00000383,0.00000000,1,1.52534953
s13,Mimicry_MR00732,0.00059929,0.00000401,0.00000401,0.00000000,1,1.59699369
s14,Mimicry_R00342,0.00059929,0.00000381,0.00000381,0.00000000,1,1.51404167
s15,COMBO_KO_R00282+OE_R00883,0.00059800,0.00010268,0.00010268,0.00000000,1,40.84140360
s16,COMBO_KO_R00282+OE_R00512+R01015,0.00059829,0.00010273,0.00010273,0.00000000,1,40.86057777
s17,COMBO_KO_PDH+OE_R00883,0.00043582,0.03301437,0.03301437,0.03301254,1,13131.77591274
s18,COMBO_KO_Exe2+Trans2,0.00058347,0.13173443,0.13173443,0.13173087,1,52398.61011219
s19,COMBO_All3_mimicry,0.00059954,0.00000251,0.00000251,0.00000000,1,1.00016243
s20,COMBO_KO_R00282+All_mimicry,0.00059825,0.00010264,0.00010264,0.00000000,1,40.82633861
s21,COMBO_AllKOs_FA_block,0.00058081,0.13170310,0.13170310,0.13160337,1,52386.14631654
s22,COMBO_AllKOs+AllOE,0.00058052,0.13170663,0.13170663,0.13160696,1,52387.55238519
s23,OE_All_lysine_pathway,0.00059932,0.00000251,0.00000251,0.00000000,1,0.99979198
s24,COMBO_KO_R00282+OE_AllLys,0.00059810,0.00010270,0.00010270,0.00000000,1,40.84822248
s25,GRAND_COMBO_AllKO+AllOE+AllMim,0.00058077,0.13170245,0.13170245,0.13160274,1,52385.89031356
s26,COMBO_KO_R00282+OE_R00883+Mim_R00342,0.00059824,0.00010272,0.00010272,0.00000000,1,40.85773083
s27,OE_R00883+R00667,0.00059943,0.00000251,0.00000251,0.00000000,1,0.99996801
s28,KO_PDH+ACC_all_FA_entry,0.00043439,0.03273168,0.03273168,0.03265710,1,13019.33459713
