Scenario,Description,Biomass,R00451_Lysine,R02292_DHDPS,Exchange_C00047,ModelStat,Lys_FoldChange
s1,Baseline,0.00062819,0.00000263,0.00000263,0.00000000,1,1.00000000
s2,KO_R00282_ACC,0.00062691,0.00010764,0.00010764,0.00000000,1,40.85645071
s3,KO_R00216_PDH_plastid,0.00044983,0.03407390,0.03407390,0.03407201,1,12933.04685828
s4,KO_Exe2_lipid_export,0.00061192,0.13817651,0.13817651,0.13817395,1,52446.10539689
s5,KO_Trans2_lipid_transport,0.00061201,0.13817947,0.13817947,0.13817558,1,52447.22675316
s6,KO_cpTransO2_transport,0.00061765,0.13735102,0.13735102,0.13734725,1,52132.78301970
s7,OE_R00883_AspKinase,0.00062843,0.00000384,0.00000384,0.00000000,1,1.45744071
s8,OE_R00512_AspSemiDH,0.00062815,0.00000402,0.00000402,0.00000000,1,1.52564176
s9,OE_R01015_DHDPR,0.00062815,0.00000402,0.00000402,0.00000000,1,1.52564429
s10,OE_R00667_HomoserDH,0.00062815,0.00000402,0.00000402,0.00000000,1,1.52564277
s11,OE_R01280_DAPepimerase,0.00062846,0.00000384,0.00000384,0.00000000,1,1.45749843
s12,Mimicry_MR00422,0.00062814,0.00000399,0.00000399,0.00000000,1,1.51431178
s13,Mimicry_MR00732,0.00062815,0.00000402,0.00000402,0.00000000,1,1.52564280
s14,Mimicry_R00342,0.00062815,0.00000402,0.00000402,0.00000000,1,1.52564382
s15,COMBO_KO_R00282+OE_R00883,0.00062702,0.00010760,0.00010760,0.00000000,1,40.84053016
s16,COMBO_KO_R00282+OE_R00512+R01015,0.00062678,0.00010762,0.00010762,0.00000000,1,40.84824153
s17,COMBO_KO_PDH+OE_R00883,0.00044983,0.03407362,0.03407362,0.03407173,1,12932.94100707
s18,COMBO_KO_Exe2+Trans2,0.00061210,0.13817710,0.13817710,0.13817453,1,52446.32784482
s19,COMBO_All3_mimicry,0.00062840,0.00000264,0.00000264,0.00000000,1,1.00033325
s20,COMBO_KO_R00282+All_mimicry,0.00062706,0.00010767,0.00010767,0.00000000,1,40.86624503
s21,COMBO_AllKOs_FA_block,0.00060924,0.13814405,0.13814405,0.13803944,1,52433.78439661
s22,COMBO_AllKOs+AllOE,0.00060893,0.13815098,0.13815098,0.13804643,1,52436.41553366
s23,OE_All_lysine_pathway,0.00062823,0.00000384,0.00000384,0.00000000,1,1.45695848
s24,COMBO_KO_R00282+OE_AllLys,0.00062702,0.00010766,0.00010766,0.00000000,1,40.86332089
s25,GRAND_COMBO_AllKO+AllOE+AllMim,0.00060919,0.13814497,0.13814497,0.13804037,1,52434.13411749
s26,COMBO_KO_R00282+OE_R00883+Mim_R00342,0.00062705,0.00010767,0.00010767,0.00000000,1,40.86528744
s27,OE_R00883+R00667,0.00062842,0.00000264,0.00000264,0.00000000,1,1.00037051
s28,KO_PDH+ACC_all_FA_entry,0.00044848,0.03378551,0.03378551,0.03370851,1,12823.58647979
