Scenario,Description,Biomass,R00451_Lysine,R02292_DHDPS,Exchange_C00047,ModelStat,Lys_FoldChange
s1,Baseline,0.00072655,0.00000305,0.00000305,0.00000000,1,1.00000000
s2,KO_R00282_ACC,0.00072501,0.00012442,0.00012442,0.00000000,1,40.82978128
s3,KO_R00216_PDH_plastid,0.00048156,0.03648102,0.03648102,0.03647901,1,11972.12406904
s4,KO_Exe2_lipid_export,0.00071029,0.16037275,0.16037275,0.16036841,1,52630.16655078
s5,KO_Trans2_lipid_transport,0.00071031,0.16037030,0.16037030,0.16036596,1,52629.36288784
s6,KO_cpTransO2_transport,0.00071686,0.15941062,0.15941062,0.15940624,1,52314.42274900
s7,OE_R00883_AspKinase,0.00072658,0.00000444,0.00000444,0.00000000,1,1.45693107
s8,OE_R00512_AspSemiDH,0.00072647,0.00000465,0.00000465,0.00000000,1,1.52556302
s9,OE_R01015_DHDPR,0.00072647,0.00000465,0.00000465,0.00000000,1,1.52556226
s10,OE_R00667_HomoserDH,0.00072647,0.00000465,0.00000465,0.00000000,1,1.52556226
s11,OE_R01280_DAPepimerase,0.00072678,0.00000444,0.00000444,0.00000000,1,1.45733659
s12,Mimicry_MR00422,0.00072678,0.00000444,0.00000444,0.00000000,1,1.45734518
s13,Mimicry_MR00732,0.00072647,0.00000465,0.00000465,0.00000000,1,1.52556302
s14,Mimicry_R00342,0.00072647,0.00000465,0.00000465,0.00000000,1,1.52556226
s15,COMBO_KO_R00282+OE_R00883,0.00072510,0.14114348,0.14114348,0.14101905,1,46319.62276770
s16,COMBO_KO_R00282+OE_R00512+R01015,0.00072489,0.14152799,0.14152799,0.14140352,1,46445.80600784
s17,COMBO_KO_PDH+OE_R00883,0.00048155,0.03648121,0.03648121,0.03647798,1,11972.18454028
s18,COMBO_KO_Exe2+Trans2,0.00071036,0.16036855,0.16036855,0.16036557,1,52628.78926739
s19,COMBO_All3_mimicry,0.00072653,0.00000487,0.00000487,0.00000000,1,1.59735598
s20,COMBO_KO_R00282+All_mimicry,0.00072517,0.14150860,0.14150860,0.14138409,1,46439.44573527
s21,COMBO_AllKOs_FA_block,0.00070685,0.16033492,0.16033492,0.16021355,1,52617.75194085
s22,COMBO_AllKOs+AllOE,0.00070672,0.16033785,0.16033785,0.16021650,1,52618.71404107
s23,OE_All_lysine_pathway,0.00072673,0.00000305,0.00000305,0.00000000,1,1.00024229
s24,COMBO_KO_R00282+OE_AllLys,0.00072504,0.00012442,0.00012442,0.00000000,1,40.83161717
s25,GRAND_COMBO_AllKO+AllOE+AllMim,0.00070698,0.16033412,0.16033412,0.16021273,1,52617.49069693
s26,COMBO_KO_R00282+OE_R00883+Mim_R00342,0.00072518,0.00012452,0.00012452,0.00000000,1,40.86263778
s27,OE_R00883+R00667,0.00072684,0.14163249,0.14163249,0.14162944,1,46480.10091415
s28,KO_PDH+ACC_all_FA_entry,0.00048019,0.03617244,0.03617244,0.03608999,1,11870.85541810
