Scenario,Description,Biomass,R00451_Lysine,R02292_DHDPS,Exchange_C00047,ModelStat,Lys_FoldChange
s1,Baseline,0.00123453,0.00000518,0.00000518,0.00000000,1,1.00000000
s2,KO_R00282_ACC,0.00123454,0.00021197,0.00021197,0.00000000,1,40.94016741
s3,KO_R00216_PDH_plastid,0.00123463,0.12210961,0.12210961,0.12210443,1,23584.14050740
s4,KO_Exe2_lipid_export,0.00123452,0.40618362,0.40618362,0.40617844,1,78449.93804196
s5,KO_Trans2_lipid_transport,0.00123461,0.40466862,0.40466862,0.40466344,1,78157.33227423
s6,KO_cpTransO2_transport,0.00123457,0.17679306,0.17679306,0.17678788,1,34145.65285568
s7,OE_R00883_AspKinase,0.00123463,0.00000518,0.00000518,0.00000000,1,1.00008395
s8,OE_R00512_AspSemiDH,0.00123448,0.00000754,0.00000754,0.00000000,1,1.45681952
s9,OE_R01015_DHDPR,0.00123448,0.00000754,0.00000754,0.00000000,1,1.45681788
s10,OE_R00667_HomoserDH,0.00123448,0.00000754,0.00000754,0.00000000,1,1.45681788
s11,OE_R01280_DAPepimerase,0.00123448,0.00022258,0.00022258,0.00000000,1,42.98798665
s12,Mimicry_MR00422,0.00123448,0.00022262,0.00022262,0.00000000,1,42.99667092
s13,Mimicry_MR00732,0.00123469,0.00022261,0.00022261,0.00000000,1,42.99541450
s14,Mimicry_R00342,0.00123448,0.00022262,0.00022262,0.00000000,1,42.99662242
s15,COMBO_KO_R00282+OE_R00883,0.00123461,0.20578136,0.20578136,0.20556937,1,39744.42639804
s16,COMBO_KO_R00282+OE_R00512+R01015,0.00123445,0.30683727,0.30683727,0.30662439,1,59262.27485011
s17,COMBO_KO_PDH+OE_R00883,0.00123464,0.96367520,0.96367520,0.96366765,1,186123.36017291
s18,COMBO_KO_Exe2+Trans2,0.00123462,0.39548800,0.39548800,0.39548283,1,76384.19703028
s19,COMBO_All3_mimicry,0.00123452,0.00000518,0.00000518,0.00000000,1,0.99999152
s20,COMBO_KO_R00282+All_mimicry,0.00123458,0.00890934,0.00890934,0.00869736,1,1720.74213916
s21,COMBO_AllKOs_FA_block,0.00123456,0.39029848,0.39029848,0.39008650,1,75381.89603977
s22,COMBO_AllKOs+AllOE,0.00123448,0.44316642,0.44316642,0.44274605,1,85592.76419711
s23,OE_All_lysine_pathway,0.00123453,0.00000518,0.00000518,0.00000000,1,0.99999825
s24,COMBO_KO_R00282+OE_AllLys,0.00123468,0.00021200,0.00021200,0.00000000,1,40.94498346
s25,GRAND_COMBO_AllKO+AllOE+AllMim,0.00123456,0.38492748,0.38492748,0.38471550,1,74344.54653550
s26,COMBO_KO_R00282+OE_R00883+Mim_R00342,0.00123468,0.05447008,0.05447008,0.05425809,1,10520.30271037
s27,OE_R00883+R00667,0.00123458,0.30609022,0.30609022,0.30587743,1,59117.98967415
s28,KO_PDH+ACC_all_FA_entry,0.00123452,0.12330714,0.12330714,0.12309517,1,23815.42987086
