Rank,Reaction,Composite_Score,N_Screens,N_DAPs,Max_Fold_Change,OE_Hits,KO_Hits,MIM_Hits,FSEOF_Hits,Screen_Types,DAPs_Hit
69,R00259[K,p],0.321486,1,1,1.096456,1,0,0,0,OE,18
70,R00586[K,p],0.321486,1,1,1.096456,1,0,0,0,OE,18
71,R00801[K,c],0.321486,1,1,1.096456,1,0,0,0,OE,18
72,R02016[K,p],0.321486,1,1,1.096456,1,0,0,0,OE,18
73,R00175[K,c],0.321486,1,1,1.096456,1,0,0,0,OE,18
74,cpTransport_C00014[K],0.321486,1,1,1.096456,1,0,0,0,OE,18
75,cpTransport_C00042[K],0.321486,1,1,1.096456,1,0,0,0,OE,18
76,R00224[K,c],0.321486,1,1,1.096456,1,0,0,0,OE,18
77,R01641[K,c],0.321486,1,1,1.096456,0,1,0,0,KO,18
78,R01829[K,c],0.321486,1,1,1.096456,0,1,0,0,KO,18
79,R01843[K,c],0.321486,1,1,1.096456,0,1,0,0,KO,18
80,18:2-16:1t-PGdegradation[K],0.321486,1,1,1.096456,0,1,0,0,KO,18
81,R02199[K,p],0.321486,1,1,1.096456,1,0,0,0,OE,18
82,Exchange_161tPG[K,L],0.321486,1,1,1.096456,0,1,0,0,KO,18
83,cpTransport_C00020[K],0.321486,1,1,1.096455,0,1,0,0,KO,18
84,16:0/18:3-MGDGdegradation[K],0.321486,1,1,1.096455,0,1,0,0,KO,18
85,MR01285[K,p],0.321486,1,1,1.096455,0,1,0,0,KO,18
86,cpTransport_MC00925[K],0.321486,1,1,1.096455,0,1,0,0,KO,18
87,MR01100[K,p],0.321486,1,1,1.096455,0,1,0,0,KO,18
88,R01184[K,c],0.321486,1,1,1.096455,0,1,0,0,KO,18
89,R01381[K,c],0.321486,1,1,1.096455,0,1,0,0,KO,18
90,R01476[K,c],0.321486,1,1,1.096455,0,1,0,0,KO,18
91,R07559[K,p],0.321486,1,1,1.096455,0,1,0,0,KO,18
92,R00291[K,c],0.321485,1,1,1.096455,1,0,0,0,OE,18
93,R00332[K,c],0.321485,1,1,1.096455,1,0,0,0,OE,18
94,R00707[K,m],0.321485,1,1,1.096455,0,1,0,0,KO,18
95,MR00732[K,m],0.321485,1,1,1.096455,0,0,1,0,MIM,18
96,R00118[K,c],0.321485,1,1,1.096455,1,0,0,0,OE,18
97,R00512[K,p],0.321485,1,1,1.096455,1,0,0,0,OE,18
98,18:3/18:3-DGDGdegradation[K],0.321304,1,1,1.095581,0,1,0,0,KO,18
99,cpTransport_MC00939[K],0.321304,1,1,1.095581,0,1,0,0,KO,18
