Reaction,GSM_Match,Screen_Type,Function,Fold_Change,Has_GPR,GPR_Type,N_Genes,Gene_IDs,Pathway,GPR_Rule,Category
"14,R02103[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"15,MR01144[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"16,MR01146[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
17,"PhloemTransport_C03172[K,c]",0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
18,"PhloemTransport_C14818[K,c]",0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,Exchange_161tPG[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR00348[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR00422[K",NOT_FOUND,MIM,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR00558[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR00732[K",NOT_FOUND,MIM,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01086[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01087[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01091[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01093[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01100[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01101[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01102[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01103[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01106[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01144[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01146[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01162[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01164[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01165[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01235[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,MR01285[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemImport_C00055_E[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemImport_C00079[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemImport_C00082[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemImport_C00130_E[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemTransport_C00002[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemTransport_C00015[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemTransport_C00063[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemTransport_C00079[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemTransport_C00082[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,PhloemTransport_C00188[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00009[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00014[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00118[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00175[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00211[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00216[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00224[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00248[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00259[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00282[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00291[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00299[K",NOT_FOUND,KO,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00332[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
"18,R00342[K",NOT_FOUND,OE,,,No,none,0,No GPR,N/A,N/A,Screening_Target
