DAP,Reaction
18,ExB_C00131[K]
18,ExB_C00135[K]
18,ExB_C00152[K]
18,ExB_C00159[K]
18,ExB_C00181[K]
18,ExB_C00183[K]
18,ExB_C00188[K]
18,ExB_C00249[K]
18,ExB_C00259[K]
18,ExB_C00286[K]
18,ExB_C00407[K]
18,ExB_C00458[K]
18,ExB_C00459[K]
18,ExB_C00712[K]
18,ExB_C00740[K]
18,ExB_C06098[K]
18,ExB_C08601[K]
18,ExB_C01494[K]
18,ExB_C01530[K]
18,ExB_C01595[K]
18,ExB_C02094[K]
18,ExB_C02477[K]
18,ExB_C02483[K]
18,ExB_C06427[K]
18,ExB_C08362[K]
18,ExB_C08591[K]
18,ExB_C15804[K]
18,ExB_C15805[K]
18,ExB_C15806[K]
18,ExB_C00369[K]
18,ExB_C00238[K]
18,ExB_C00305[K]
18,ExB_C00076[K]
18,ExB_C00038[K]
18,ExB_C00034[K]
18,ExB_C00070[K]
18,MR00121[K,p]
18,MR00462[K,c]
18,MR00557[K,p]
18,MR00558[K,p]
18,MR00663[K,m]
18,MR01076[K,p]
18,MR01078[K,p]
18,MR01079[K,p]
18,MR01081[K,c]
18,MR01084[K,p]
18,MR01085[K,c]
18,MR01085[K,p]
18,MR01087[K,p]
18,MR01088[K,c]
18,MR01092[K,c]
18,MR01092[K,p]
18,MR01093[K,p]
18,MR01094[K,c]
18,MR01094[K,p]
18,MR01095[K,c]
18,MR01096[K,c]
18,MR01096[K,p]
18,MR01098[K,p]
18,MR01099[K,c]
18,MR01099[K,p]
18,MR01102[K,c]
18,MR01104[K,c]
18,MR01104[K,p]
18,MR01105[K,p]
18,MR01106[K,c]
18,MR01107[K,p]
18,MR01109[K,p]
18,MR01110[K,p]
18,MR01111[K,p]
18,MR01112[K,p]
18,MR01122[K,p]
18,MR01127[K,p]
18,MR01129[K,p]
18,MR01132[K,p]
18,MR01135[K,c]
18,MR01136[K,c]
18,MR01137[K,c]
18,MR01139[K,c]
18,MR01142[K,c]
18,MR01143[K,p]
18,MR01147[K,p]
18,MR01148[K,p]
18,MR01156[K,p]
