Metabolite_ID,Metabolite_Name,Base_KEGG_ID,Compartment,WT_DAP6,O2_DAP6,Diff_DAP6,WT_DAP8,O2_DAP8,Diff_DAP8,WT_DAP10,O2_DAP10,Diff_DAP10,WT_DAP12,O2_DAP12,Diff_DAP12,WT_DAP15,O2_DAP15,Diff_DAP15,WT_DAP18,O2_DAP18,Diff_DAP18,WT_DAP22,O2_DAP22,Diff_DAP22,WT_DAP30,O2_DAP30,Diff_DAP30,WT_Mean,WT_Max,O2_Mean,O2_Max,Diff_Mean,Diff_Max,Diff_MaxAbs,Diff_SumAbs
"C00009[K,c]",Orthophosphate [cyt],C00009,c,0.2598938150,0.2980608300,0.0381670150,0.2918375600,0.3324249200,0.0405873600,0.3428779550,0.3335466300,-0.0093313250,0.4625693950,0.4191186850,-0.0434507100,2.0799306950,0.6233694350,-1.4565612600,0.4584799650,1.2182017950,0.7597218300,1.3811955800,4.5994449550,3.2182493750,0.1729987400,0.0220231000,-0.1509756400,0.6812229631,2.0799306950,0.9807737937,4.5994449550,0.2995508306,3.2182493750,3.2182493750,5.7170445150
"C00118[K,c]",D-Glyceraldehyde-3P [cyt],C00118,c,0.3527040050,1.9242703000,1.5715662950,2.3715224550,1.4696853000,-0.9018371550,0.2817033650,2.2414144500,1.9597110850,0.2559281500,0.2988793400,0.0429511900,1.8426128750,1.2655300350,-0.5770828400,1.6020568150,2.0538804500,0.4518236350,1.3234613000,4.3720972500,3.0486359500,1.1686996900,0.0108598000,-1.1578398900,1.1498360819,2.3715224550,1.7045771156,4.3720972500,0.5547410338,3.0486359500,3.0486359500,9.7114480400
"C00074[K,c]",Phosphoenolpyruvate [cyt],C00074,c,0.2748199700,0.2187232150,-0.0560967550,0.2092932000,0.2484405300,0.0391473300,0.2253913400,0.2346129950,0.0092216550,0.2355658600,0.2200508400,-0.0155150200,2.3332987050,0.5946619250,-1.7386367800,0.4349685950,1.2701311050,0.8351625100,1.4227427350,4.3671457450,2.9444030100,0.2422668500,0.0208554400,-0.2214114100,0.6722934069,2.3332987050,0.8968277244,4.3671457450,0.2245343175,2.9444030100,2.9444030100,5.8595944700
"C00024[K,p]",Acetyl-CoA [pla],C00024,p,0.2071300450,0.2046215050,-0.0025085400,0.1966189550,0.2316680950,0.0350491400,0.2150844100,0.2211930150,0.0061086050,0.2375937750,0.2205374250,-0.0170563500,0.5448627200,0.4520512500,-0.0928114700,0.4251099350,0.5322527700,0.1071428350,0.1490013950,2.9821183900,2.8331169950,0.1401743300,0.0230451700,-0.1171291600,0.2644469456,0.5448627200,0.6084359525,2.9821183900,0.3439890069,2.8331169950,2.8331169950,3.2109230950
"C00010[K,p]",CoA [pla],C00010,p,0.2235311150,0.2206779300,-0.0028531850,0.2121060450,0.2497932050,0.0376871600,0.2322755150,0.2386713450,0.0063958300,0.2574759200,0.2388854950,-0.0185904250,0.5668785350,0.4884055800,-0.0784729550,0.4251991750,0.5496683000,0.1244691250,0.1588577850,2.9821485400,2.8232907550,0.1449686500,0.0246768350,-0.1202918150,0.2776615925,0.5668785350,0.6241159038,2.9821485400,0.3464543113,2.8232907550,2.8232907550,3.2120512500
"C00003[K,p]",NAD+ [pla],C00003,p,0.2414946950,0.2361250500,-0.0053696450,0.2278649600,0.2664351950,0.0385702350,0.2538538050,0.2572828800,0.0034290750,0.2954505000,0.2720215850,-0.0234289150,0.5589065050,0.5373501700,-0.0215563350,0.4772427300,0.5622741700,0.0850314400,0.2692647950,2.9165853700,2.6473205750,0.2105291200,0.0284673750,-0.1820617450,0.3168258888,0.5589065050,0.6345677244,2.9165853700,0.3177418356,2.6473205750,2.6473205750,3.0067679650
"C00004[K,p]",NADH [pla],C00004,p,0.2414946950,0.2361250500,-0.0053696450,0.2278649600,0.2664351950,0.0385702350,0.2538538050,0.2572828800,0.0034290750,0.2954505000,0.2720215850,-0.0234289150,0.5589065050,0.5373501700,-0.0215563350,0.4772427300,0.5622741700,0.0850314400,0.2692647950,2.9165853700,2.6473205750,0.2105291200,0.0284673750,-0.1820617450,0.3168258888,0.5589065050,0.6345677244,2.9165853700,0.3177418356,2.6473205750,2.6473205750,3.0067679650
"C00027[K,p]",C00027 [pla],C00027,p,0.1342015900,0.1310805300,-0.0031210600,0.1265506000,0.1478574400,0.0213068400,0.1409999500,0.1429423600,0.0019424100,0.1649310450,0.1519914200,-0.0129396250,0.2729787800,0.2928758500,0.0198970700,0.2390155900,0.2475141500,0.0084985600,0.0198668200,2.6667602600,2.6468934400,0.1308323000,0.0186454300,-0.1121868700,0.1536720844,0.2729787800,0.4749584300,2.6667602600,0.3212863456,2.6468934400,2.6468934400,2.8267858750
"C00111[K,c]",Glycerone-phosphate [cyt],C00111,c,0.2069963850,1.8067854900,1.5997891050,2.2590407100,1.3362950850,-0.9227456250,0.1603108450,2.1152651600,1.9549543150,0.1280867950,0.1795716550,0.0514848600,1.6488919400,0.9498056850,-0.6990862550,1.5956969150,1.6766090450,0.0809121300,1.3185662600,2.1861086850,0.8675424250,1.1358972000,0.0154927450,-1.1204044550,1.0566858812,2.2590407100,1.2832416937,2.1861086850,0.2265558125,1.9549543150,1.9549543150,7.2969191700
"C00085[K,c]",D-Fructose-6P [cyt],C00085,c,0.1994065200,1.7993579500,1.5999514300,2.2518773050,1.3280311300,-0.9238461750,0.1523540300,2.1071801400,1.9548261100,0.0109154150,0.1710833400,0.1601679250,1.6298288600,0.9332306800,-0.6965981800,1.5800634950,1.6570824400,0.0770189450,1.2912579200,1.5101250250,0.2188671050,1.0285329800,0.0009046500,-1.0276283300,1.0180295656,2.2518773050,1.1883744194,2.1071801400,0.1703448537,1.9548261100,1.9548261100,6.6589042000
