Rank,Metabolite_ID,Metabolite_Name,Base_KEGG_ID,Compartment,Direction_in_O2,Consistency,DAPs_with_change,Mean_Abs_Diff,Max_Abs_Diff,Relevance_Weight,Composite_Score,Suggested_Strategy,Pathways,Diff_DAP6,Diff_DAP8,Diff_DAP10,Diff_DAP12,Diff_DAP15,Diff_DAP18,Diff_DAP22,Diff_DAP30
22,"C00004[K,c]",NADH [cyt],C00004,c,INCREASED,0.75000000,8,0.59399145,4.25196182,2.00000000,0.89098718,Enhance turnover (increase supply/demand),Energy_Cofactors,0.05480772,0.04192330,0.00941780,-0.01712898,0.12488980,0.21917998,4.25196182,-0.03262225
23,"C00022[K,c]",Pyruvate [cyt],C00022,c,DECREASED,0.50000000,8,0.57045347,1.83673240,3.00000000,0.85568021,Reduce turnover (limit competing usage),TCA_Cycle; Glycolysis,-0.06014025,0.02014085,0.00029071,-0.01451943,-1.69595795,0.71440964,1.83673240,-0.22143652
24,"C00025[K,c]",L-Glutamate [cyt],C00025,c,INCREASED,0.62500000,8,0.54465731,3.98695365,2.50000000,0.85102705,Enhance turnover (increase supply/demand),Amino_Acids,0.10771583,0.03218832,0.00504454,-0.01659321,0.01898532,-0.08453700,3.98695365,-0.10524062
25,"C00074[K,c]",Phosphoenolpyruvate [cyt],C00074,c,DECREASED,0.50000000,8,0.73244931,2.94440301,2.00000000,0.73244931,Reduce turnover (limit competing usage),Glycolysis,-0.05609676,0.03914733,0.00922165,-0.01551502,-1.73863678,0.83516251,2.94440301,-0.22141141
26,"C00047[K,p]",L-Lysine [pla],C00047,p,INCREASED,0.85714286,7,0.15707267,1.25078026,5.00000000,0.67316860,Enhance turnover (increase supply/demand),Lysine_Biosynthesis; Lysine_Degradation; Aspartate_Family,0.00000122,0.00000168,0.00000005,-0.00000024,0.00579634,0.00000159,1.25078026,0.00000000
27,"C00680[K,p]",meso-Diaminopimelate [pla],C00680,p,INCREASED,0.85714286,7,0.15707267,1.25078026,5.00000000,0.67316860,Enhance turnover (increase supply/demand),Lysine_Biosynthesis,0.00000122,0.00000168,0.00000005,-0.00000024,0.00579634,0.00000159,1.25078026,0.00000000
28,"C00049[K,p]",L-Aspartate [pla],C00049,p,INCREASED,0.85714286,7,0.15707267,1.25078026,5.00000000,0.67316860,Enhance turnover (increase supply/demand),Lysine_Biosynthesis; Aspartate_Family,0.00000122,0.00000168,0.00000005,-0.00000024,0.00579634,0.00000159,1.25078026,0.00000000
29,"C00441[K,p]",L-Aspartate-4-semialdehyde [pla],C00441,p,INCREASED,0.85714286,7,0.15707267,1.25078026,5.00000000,0.67316860,Enhance turnover (increase supply/demand),Lysine_Biosynthesis,0.00000122,0.00000168,0.00000005,-0.00000024,0.00579634,0.00000159,1.25078026,0.00000000
30,"C03340[K,p]",Dihydrodipicolinate [pla],C03340,p,INCREASED,0.85714286,7,0.15707267,1.25078026,5.00000000,0.67316860,Enhance turnover (increase supply/demand),Lysine_Biosynthesis,0.00000122,0.00000168,0.00000005,-0.00000024,0.00579634,0.00000159,1.25078026,0.00000000
31,"C00047[K,c]",L-Lysine [cyt],C00047,c,INCREASED,0.85714286,7,0.15707267,1.25078026,5.00000000,0.67316860,Enhance turnover (increase supply/demand),Lysine_Biosynthesis; Lysine_Degradation; Aspartate_Family,0.00000122,0.00000168,0.00000005,-0.00000024,0.00579634,0.00000159,1.25078026,0.00000000
