Scenario,Description,Biomass,R00451_Lysine,R02292_DHDPS,Exchange_C00047,ModelStat,Lys_FoldChange
s1,Baseline,0.00160392,0.00000673,0.00000673,0.00000000,1,1.00000000
s2,KO_R00282_ACC,0.00160384,0.45534186,0.45534186,0.45506647,1,67690.43575781
s3,KO_R00216_PDH_plastid,0.00160385,0.17888346,0.17888346,0.17887673,1,26592.54622786
s4,KO_Exe2_lipid_export,0.00160396,0.37320252,0.37320252,0.37319580,1,55479.72580056
s5,KO_Trans2_lipid_transport,0.00160389,0.37321201,0.37321201,0.37320528,1,55481.13604245
s6,KO_cpTransO2_transport,0.00160394,0.19178938,0.19178938,0.19178265,1,28511.12072939
s7,OE_R00883_AspKinase,0.00160387,0.00001019,0.00001019,0.00000000,1,1.51438969
s8,OE_R00512_AspSemiDH,0.00160384,0.00000980,0.00000980,0.00000000,1,1.45681447
s9,OE_R01015_DHDPR,0.00160383,0.04136655,0.04136655,0.04135581,1,6149.48954199
s10,OE_R00667_HomoserDH,0.00160387,0.06206705,0.06206705,0.06205725,1,9226.79384834
s11,OE_R01280_DAPepimerase,0.00160384,0.12033913,0.12033913,0.12032933,1,17889.43446531
s12,Mimicry_MR00422,0.00160383,0.06271540,0.06271540,0.06270466,1,9323.17750503
s13,Mimicry_MR00732,0.00160395,0.04302565,0.04302565,0.04301585,1,6396.12894236
s14,Mimicry_R00342,0.00160384,0.05206451,0.05206451,0.05205471,1,7739.83196175
s15,COMBO_KO_R00282+OE_R00883,0.00160395,0.00027540,0.00027540,0.00000000,1,40.94078553
s16,COMBO_KO_R00282+OE_R00512+R01015,0.00160387,0.00027866,0.00027866,0.00000000,1,41.42463197
s17,COMBO_KO_PDH+OE_R00883,0.00160392,0.17159081,0.17159081,0.17158409,1,25508.43232677
s18,COMBO_KO_Exe2+Trans2,0.00160394,0.37322250,0.37322250,0.37321577,1,55482.69501148
s19,COMBO_All3_mimicry,0.00160387,0.00000673,0.00000673,0.00000000,1,0.99997268
s20,COMBO_KO_R00282+All_mimicry,0.00160393,0.00027540,0.00027540,0.00000000,1,40.94028488
s21,COMBO_AllKOs_FA_block,0.00160392,0.37574190,0.37574190,0.37546650,1,55857.22596272
s22,COMBO_AllKOs+AllOE,0.00160387,0.49913506,0.49913506,0.49885877,1,74200.66678852
s23,OE_All_lysine_pathway,0.00160385,0.28638141,0.28638141,0.28637127,1,42573.02950004
s24,COMBO_KO_R00282+OE_AllLys,0.00160396,0.00027540,0.00027540,0.00000000,1,40.94103482
s25,GRAND_COMBO_AllKO+AllOE+AllMim,0.00160387,0.37575506,0.37575506,0.37547967,1,55859.18201734
s26,COMBO_KO_R00282+OE_R00883+Mim_R00342,0.00160385,0.14462918,0.14462918,0.14435380,1,21500.35646340
s27,OE_R00883+R00667,0.00160387,0.14843978,0.14843978,0.14816334,1,22066.83489194
s28,KO_PDH+ACC_all_FA_entry,0.00160386,0.32592190,0.32592190,0.32564651,1,48451.05970780
