Scenario,Description,Biomass,R00451_Lysine,R02292_DHDPS,Exchange_C00047,ModelStat,Lys_FoldChange
s1,Baseline,0.00056615,0.00000237,0.00000237,0.00000000,1,1.00000000
s2,KO_R00282_ACC,0.00056478,0.00009697,0.00009697,0.00000000,1,40.84052237
s3,KO_R00216_PDH_plastid,0.00041507,0.03144370,0.03144370,0.03144196,1,13242.53649096
s4,KO_Exe2_lipid_export,0.00055082,0.12433556,0.12433556,0.12433325,1,52364.01305664
s5,KO_Trans2_lipid_transport,0.00055074,0.12434005,0.12434005,0.12433668,1,52365.90382051
s6,KO_cpTransO2_transport,0.00055579,0.12359507,0.12359507,0.12359167,1,52052.15360735
s7,OE_R00883_AspKinase,0.00056611,0.00000346,0.00000346,0.00000000,1,1.45675980
s8,OE_R00512_AspSemiDH,0.00056620,0.00000237,0.00000237,0.00000000,1,1.00007613
s9,OE_R01015_DHDPR,0.00056619,0.10420425,0.10420425,0.10420079,1,43885.69685103
s10,OE_R00667_HomoserDH,0.00056619,0.10420394,0.10420394,0.10420048,1,43885.56686823
s11,OE_R01280_DAPepimerase,0.00056619,0.10420394,0.10420394,0.10420048,1,43885.56686823
s12,Mimicry_MR00422,0.00056619,0.10420394,0.10420394,0.10420048,1,43885.56686823
s13,Mimicry_MR00732,0.00056619,0.10420394,0.10420394,0.10420048,1,43885.56686823
s14,Mimicry_R00342,0.00056619,0.10420394,0.10420394,0.10420048,1,43885.56686823
s15,COMBO_KO_R00282+OE_R00883,0.00056491,0.00009700,0.00009700,0.00000000,1,40.84985324
s16,COMBO_KO_R00282+OE_R00512+R01015,0.00056496,0.00009700,0.00009700,0.00000000,1,40.85366188
s17,COMBO_KO_PDH+OE_R00883,0.00041508,0.03144388,0.03144388,0.03144214,1,13242.61349224
s18,COMBO_KO_Exe2+Trans2,0.00055070,0.12433968,0.12433968,0.12433632,1,52365.75014500
s19,COMBO_All3_mimicry,0.00056610,0.00000346,0.00000346,0.00000000,1,1.45673982
s20,COMBO_KO_R00282+All_mimicry,0.00056488,0.10475353,0.10475353,0.10465654,1,44117.02551030
s21,COMBO_AllKOs_FA_block,0.00054822,0.12431021,0.12431021,0.12421608,1,52353.33829720
s22,COMBO_AllKOs+AllOE,0.00054828,0.12431125,0.12431125,0.12421711,1,52353.77365635
s23,OE_All_lysine_pathway,0.00056607,0.00000379,0.00000379,0.00000000,1,1.59715706
s24,COMBO_KO_R00282+OE_AllLys,0.00056475,0.10475537,0.10475537,0.10465840,1,44117.80332839
s25,GRAND_COMBO_AllKO+AllOE+AllMim,0.00054814,0.12431224,0.12431224,0.12421812,1,52354.19104762
s26,COMBO_KO_R00282+OE_R00883+Mim_R00342,0.00056494,0.00009700,0.00009700,0.00000000,1,40.85245778
s27,OE_R00883+R00667,0.00056617,0.00000237,0.00000237,0.00000000,1,1.00002826
s28,KO_PDH+ACC_all_FA_entry,0.00041374,0.03117799,0.03117799,0.03110700,1,13130.63376823
